input,expected_output
"Hey, I'm a bit unsure about a message I sent through Canvas. I'm wondering if it went just to me, or to the whole class. In the ""To:"" field, it only shows my name, and the message is only in my sent folder. I can see an option to add all 60 classmates, but I'm worried I might have accidentally sent a personal reminder to everyone. I thought it was fine initially, but now I'm second-guessing myself. Could someone clarify: if only my name is listed in the ""To:"" field, did only I get the message? Also, if it did go to the entire class, how can I avoid this in the future? Thanks for any help!",You sent it to yourself only. It will only send to everyone if you select the 60 classmates option.
"I am a new student and my course starts tomorrow. It is an online course. I have logged into the student portal with my personal email and it says that I am enrolled in the course, but when I log into canvas with my new TAFE email it says I am not enrolled in any courses. 
It is also a Sunday so I cannot call up for immediate help. 
What do I do given the course is supposed to start tomorrow?","Unfortunately, we won't be able to directly help with your enrollment question.  Every school that uses Canvas as their LMS (Learning Management System) has their own process of enrolling students and instructors into courses.  Many schools have an automated process set up where students enroll in a course via the school's Student Information System (SIS), and that system then sends the enrollment directly into Canvas.  This might be on an established schedule like every two hours, every six hours, twice a day, once a day, etc.  It really depends on the school.  Other schools, depending on their size and student population, might enroll people manually or do things via a self-enrollment process.  Again, it just depends on how your school has chosen to pass enrollments from the SIS into Canvas...and the frequency of sending that data. I'd encourage you to try and reach out to your school's Canvas administrator(s) and someone from their Online Learning / eLearning / Distance Education team to see if they might be able to assist you further. Also, you might want to check your Courses >> All Courses screen within Canvas to see if your courses are listed there.  If you do not see your courses listed there, then you'll want to reach out to folks at your school as I've mentioned above.  If you do see your courses listed there, but they are not currently published, then your instructors have not yet made the content available to you and your classmates.  Once your instructors publish their courses, then you can access the content.  How do I view all my Canvas courses? I hope this information will be of some help to you.  Good luck as you have these conversations with folks at your school!"
コース登録した授業のダッシュボードを消すにはどうすればいいですか？,"I believe this is your concern? How to delete a course. How do I delete the dashboard for a course I've enrolled in? You control the courses on your Dashboard by managing your main Courses list. Any course you remove from the Courses list drop-down will no longer appear on your Dashboard. Please check out How do I customize my Courses list? I hope that helps, let me know if you've got additional questions, thank you."
Today I was trying to keep up with my work in high school and I realized that they don't show you the work they give this exact day,"It can depend on the teacher and how they organize their page in terms of individual classes, but overall, what I like to do is to switch the dashboard to list view. This way, it displays all your classes assignments for the day in one section, and you can scroll up and down for past assignments and future planned ones."
How do I find my unoffical transcripts in canvas?Where are they?,"Since this question appears to be school-specific, I recommend reaching out directly to your instructor or institution's Canvas admin for assistance."
"During my recent exam, I accidentally clicked on a pop-up notification, and the activity log recorded that I was away from the exam page for about 20–30 seconds. However, after that click, I did not interact with anything outside the exam page. I simply did not click or type within the exam during that short period. May I ask if this kind of inactivity (not interacting on the exam page after clicking an outside notification) is also recorded as being ""out of the exam,"" or does the log only reflect actual navigation away from the page?","Yes, that action would be recorded in the quiz audit logs. Any time a user exists the exam for whatever reason, it will log it in the audit log. However, it will not tell the instructor where you went, just on what question you left the exam on and how long you were off of the exam for. I hope that helps!"
I need the QR code for Canvas,"You can locate the QR code for your Canvas login by clicking the 'Account' button via your Global Navigation menu and clicking QR for mobile login. For more information, feel free to check out this guide: How do I view a QR code to log in to the Canvas mobile apps?"
Unable to play videos due to privacy settings. Please suggest how to fix this,"Without knowing more about the specific videos you're having difficulty with and what browser you're using, it's going to be hard to solve this for sure.  On the browser side, you can look in settings like allowing 3rd party cookies (enable that) or blocking content (disable that).  You could also have browser extensions that are blocking things, so you could try to turn some of those off if you have them. Aside form this info, I'd encourage you to reach out to your school/institution help desk if you continue to have problems and need more help.  They will know more about your specific class and the systems that have in Canvas than we will here in the global Instructure Community. I hope this helps!"
"I am a student, I opened my account to pass my assignment but when I go to my subjects there is already submitted and it's appeared my classmate name, even though she didn't know my account. Also my classmates can see my assignments",Your teacher may have set this assignment up as a group assignment. You should contact the teacher/tutor and let them know.
"I just took a two-hour in-person exam, on paper, and in the middle of the test, my professor comes up to me and asks if I'm cheating. She proceeded to ask if I had my phone on me which I then replied no and took my backpack from under the desk, unzipped it, and rummaged through a pile of study snacks and stationery to retrieve my phone. She then tells me to stay after class which is when she proceeds to say that she noticed an activity on my Canvas. I immediately realized that it was likely because when I put my PC to sleep, it would randomly wake up after X hours. I told her that was likely the case and she found it hard to believe. I have no reason to cheat as it is my senior year in college and I would rather retake the course than commit academic dishonesty. She said that I must write up a report on why there could have been an activity on my Canvas so that she can forward it to the IT at my school. What can I say? Is there any way they could track my IP or the device on which the activity was reported? The only time I accessed Canvas on my phone was one minute before the exam to check my seating assignment but after that, I did not access it again. I'm stressed out here and I still have two other exams to take but I cannot focus because I'm being accused of cheating when I'm not. Will IT understand my circumstances and is there any way to prove my innocence? I just need some type of answer, some form of help.","IT (and some professors) can likely check the user agent of the device accessing it (which tells you the operating system and browser used), so they could know whether it was a phone that accessed it or a laptop. I have used it myself, and caught a student accessing his Canvas exam on his phone (while he left the exam room). Alternatively, both IT and professors can check what you did on the activity history, whether your laptop accessed only the main course page, or if it accessed a specific file. These can be used as proof against you but, if you really did nothing, it can also help exonerate you. I don't know what the IT policy in your school is, whether they are willing to share that information with you before you write the report (to tell the truth, I don't know what my University's policy on that is, either), but you might consider checking?"
