input,actual_output,expected_output,context,source_file
How do I open the Canvas Dashboard and view my assignments as a student?,,"- Step 1: Open Canvas using your institution’s Canvas URL (or launch the Canvas Student app on your device).

- Step 2: Sign in as a student (use your Canvas credentials). If you’re joining via invitation, accept it; if you have a join code or secret URL, use that to enroll.

- Step 3: Navigate to the Dashboard: After logging in, use the Dashboard to view your courses as tiles.

- Step 4: Open a course to view assignments: Click the course tile to enter the course, then open the Assignments area to see due dates and submission requirements. (Alternatively, you can view assignments from within the course page.)

- Step 5: Troubleshooting if nothing is visible:
  - Ensure the course is published and has started (students cannot view a course until it’s published and started).
  - Make sure you are enrolled as a student in the course.
  - Refresh the page or try again later; if still missing, contact your instructor for access.","Document Title: Student Getting Started Resources

Student Getting Started Resources
Below are some general questions and answers about Canvas, the Student role, and links to resources to help you be comfortable with Canvas. Visit the
Student Guides
to learn more.
Introduction
What is Canvas?
Canvas is a Learning Management System. To learn more about Canvas terminology and definitions, visit
How does Canvas define the terms used to describe its features and functions?
Because Canvas is a web-based system, it doesn’t need to be installed on your computer. However, you’ll want to make sure that your
computer and web browser meet the basic requirements to run Canvas
.
Canvas also has a
free mobile app
available for iOS and Android that is specifically tailored to students. You can learn more about
how the mobile app features compare
to Canvas on the web.
What is the Student role?
In Canvas, the
Student role
is most commonly used to enroll users who will participate in a course for course credit. Users enrolled as students can view course content and participate in course assignments and communications. Students cannot view and participate in a course until it is published and the course has started.
Canvas for Elementary
Canvas for Elementary
is a Canvas setting that displays a simplified interface and experience designed for younger learners.
Canvas Guides
The
Canvas Student Guide
has over 200 articles that each answer a question that relates to using the Canvas interface as a student. Each article also includes Next and Previous links so you can easily navigate to related content.
Student Videos
You can also watch
videos for students
.
User Account Setup
Before you can do anything in Canvas, you'll need an account and the
URL for your institution's Canvas website
. View the articles below for help with setting up your account and managing your user settings.
How do I accept an email invitation to join a Canvas course?
How do I sign up for a Canvas account with a join code or secret URL as a student?
How do I edit my profile in my user account?
How do I change the settings in my user account?
Logging in to Canvas
You can access Canvas through a URL for your institution. Learn more in the article below.
How do I log in to Canvas?
Logging in to the Canvas Student App
After you download the Canvas Student mobile app to your
Android
or
iOS
device, you can log in to the app using a QR code or a URL. If you are already logged in to Canvas on the Web, using the QR code instantly logs you in to the app.
How do I view a QR code to log in to the Canvas mobile apps?
How do I log in to the Canvas Student app on my iOS device with a QR code?
How do I log in to the Canvas Student app on my Android Device with a QR code?
You can also log into the Canvas Student mobile app without a QR code:
How do I log in to the Student app on my iOS device with a Canvas URL?
How do I log in to the Student app on my Android device with a Canvas URL?
Canvas Overview
Once you log into Canvas, take a minute to familiarize yourself with the Canvas user interface.
The articles below show you how to navigate Canvas and use a few of the tools that link across all your courses.
How do I use the Global Navigation Menu?
How do I use the Dashboard as a student?
How do I use the Inbox?
How do I use the Calendar?
How do I use Files?
How do I add and modify text in the Rich Content Editor?
Course Basics
Within a Canvas course, you can submit assignments, participate in discussions, view grades, and collaborate with other students. What is available in your course depends on what has been implemented by your instructor. View the articles below for some of the basics of Canvas courses.
How do I use the Course Home Page as a student?
How do I view Assignments as a student?
How do I submit an online assignment?
How do I view my grades in a current course?
How do I reply to a discussion as a student?
How do I take a quiz?
(Classic Quizzes)
How do I take a quiz in New Quizzes?
How do I view Collaborations as a student?
How do I use Conferences in a course as a student?
How do I view Pages as a student?
Learn more about Canvas features and other basic topics in the
Canvas Basics Guide.|Document Title: Student Getting Started Resources

How do I use Conferences in a course as a student?
How do I view Pages as a student?
Learn more about Canvas features and other basic topics in the
Canvas Basics Guide.
Learn more about using Canvas as a student in the
Canvas Student Guide
.
Canvas Student App
View information about the
Canvas Student mobile app
in the articles below.
How do I use the Student app on my Android device?
How do I use the Student app on my iOS device?
How do I view Assignments in the Student app on my Android device?
How do I view Assignments in the Student app on my iOS device?
Visit the Canvas Student mobile app guides to learn more.
Canvas Student Android Guide
Canvas Student iOS Guide
Canvas for Elementary Student Android Guide
Canvas for Elementary Student iOS Guide
Additional Resources for Students
Getting Started with Canvas in 10 Steps (Students)
Canvas for Elementary Student Guides
Troubleshooting for Students",
"What are the steps to accept a Canvas course invitation via email (Get Started, Accept)?",,"1) Open the invitation email from your institution. It will include your Canvas URL and the login email to use.  
2) Click the Get Started button. This takes you to the course and prompts enrollment.  
3) Click the Accept button to enroll in the course.  

If you need to create a Canvas account instead of using an existing one:  
4) Click Create My Account.  
5) If you already have a Canvas account, click I Have a Canvas Account and log in.  
6) Complete Registration: create a password, set your time zone, optionally receive information from Instructure, check the Acceptable Use Policy, and click Register.  

Troubleshooting: If you’re having trouble with your account, contact your instructor for assistance.","Document Title: How do I accept an email invitation to join a Canvas course

How do I accept an email invitation to join a Canvas course? If you are using Canvas through your institution, you will most likely already have a Canvas account and need to accept a course invitation before you can log in . Your institution will email your login information. However, you may also receive a course invitation where you have to create a Canvas account as part of the registration process. Note : If your institution is using Canvas and you are having trouble with your account, contact your instructor for assistance.  Accept Course Invitation If you've enrolled in or been invited to a Canvas course, you will receive an email that contains your institution's Canvas URL  and your email address to use for your login . To accept the course invitation, click the Get Started button . Accept Course Canvas will take you to your course and ask you to accept the enrollment. Click the Accept button. Create Canvas Account Click the Create My Account button. Note: If you already have a Canvas account, click the I Have a Canvas Account button. You'll be directed to the Canvas login page . Complete Registration Create a password  and enter your time zone . Depending on your account type, you may be asked if you want to receive information, news, and tips from Instructure . Click the Acceptable Use Policy checkbox , then click the Register button .",
"Can a student sign up for Canvas using only a join code, with no invite email?",,"Yes. You can sign up using only a join code (no invite email needed) as long as you have the join code from your instructor or institution.

Step 1: Obtain the join code from your instructor or institution. Note: the code is sent separately from any invitation email.

Step 2: Open a browser and go to canvas.instructure.com.

Step 3: Click Need a Canvas Account?, then select I’m a Student.

Step 4: In Registration, complete:
- Join Code: enter the course join code
- Full Name
- Username
- Password
- Confirm Password
- Email
- Agree to the Terms of Use
- Complete Captcha (if prompted)

Step 5: Click Start Learning.

Step 6: If you did not receive a join code or cannot sign up, contact your instructor or institution for help.","Document Title: How do I sign up for a Canvas account with a join code or secret

How do I sign up for a Canvas account with a join code or secret URL as a student?
If you do not already have a Canvas account, you need to create an account before you can
log in to Canvas
.
If you are using Canvas through your institution, you most likely already have an account and need to accept a course invitation. Your institution will email your login information. If you do not yet have an account, you can create an account when you
accept the course invitation
.
If you are not using Canvas through your institution, you can create your own account. Your instructor will provide you with a join code to link you directly to the course. This code will be sent to you separately from the Canvas email that invites you to join the course.
If you need to create an account in Canvas but have not received your join code via email, please contact your instructor or institution for help with logging in.
Notes:
Once you create an account, you can request to delete your account at any time. Deleting your Canvas account cannot be undone and will delete all Canvas information including courses, assignments, grades, and participation. Do not request to have your account deleted unless you are certain you absolutely no longer require any access to your prior Canvas activity. To request to have your account deleted,
open the Help menu
and submit a ticket to Canvas support through the
Report a Problem
link.
For some users, the user interface may appear differently if the New Login/Registration UI for Identity feature option is enabled at the root account level.
00:00:Canvas offers a seamless way for students to sign up using a join code or secret URL. Follow these instructions to create your Canvas account effortlessly, enhancing your learning experience.
00:13:If you don't yet have an account, you can set one up for yourself without an email link. To create your account, open a browser and type canvas.instructure.com into your browser.
00:25:Click the Need a Canvas Account? link.
00:28:Click the I'm a Student button.
00:31:Complete the following Registration Fields:
00:34:Enter the course join code in the Join Code field. This code will be emailed to you by your instructor or institutionthe email is separate from your email invitation to join the course.
00:45:Enter your name in the Full Name field.
00:48:Enter your username in the Username field.
00:51:Set your password by typing in the Password field.
00:55:Confirm your password by typing your password in the Confirm Password field.
01:00:Enter your email in the Email field.
01:03:Agree to the terms of use by clicking the terms of use checkbox.
01:08:Confirm that you are not a robot by completing the Captcha form (if enabled by your institution)
01:14:Click the Start Learning button.
01:17:This guide covered how to sign up for a Canvas account with a join code or secret URL as a student.
Enter URL
If you don't yet have an account, you can set one up for yourself without an email link.
To create your account, open a browser and type
canvas.instructure.com
into your browser.
Note:
You must have a join code from your instructor or institution to create your account.
Create Canvas Account
Click the
Need a Canvas Account?
link.
Sign Up As a Student
Click the
I'm a Student
button.
Complete Registration
Complete the following fields:
Enter the course join code in the
Join Code
field. This code will be emailed to you by your instructor or institution—the email is separate from your email invitation to join the course.
Enter your name in the
Full Name
field.
Enter your username in the
Username
field.
Set your password by typing in the
Password
field.
Confirm your password by typing your password in the
Confirm Password
field.
Agree to the terms of use by clicking the terms of use checkbox.
Confirm that you are not a robot by completing the Captcha form (if enabled by your institution)
Click the
Start Learning
button.",
How does a student generate/copy a 6-digit alphanum pairing code for observer and expiry rule?,,"Step-by-step instructions to generate and copy a 6-character alphanumeric pairing code for an observer and the expiry rule:

1) Open Canvas and in Global Navigation, click Account, then Settings.  
2) In your User Settings, click Pair with Observer.  
3) Click Copy Pairing Code to copy the six-character alphanumeric code. The code is case sensitive.  
4) Share the code with the observer who will link to your account.  
5) Note: The pairing code expires after seven days or upon its first use.  
6) If the Pair with Observer button doesn’t appear, contact your institution for assistance.  
7) To close the window, click OK.","Document Title: How do I generate a pairing code for an observer as a student

How do I generate a pairing code for an observer as a student? As a student, you can generate a pairing code to link an observer to your Canvas account. You must create a separate pairing code for each observer who wants to link to your account. For more information on pairing codes, view the Pairing Codes - Frequently Asked Questions resource document . An observer may be your parent, guardian, mentor, counselor, or another individual who needs to view your Canvas courses. Linked observers can can view and participate in certain elements of your Canvas courses. For more information on the observer role, view the Observer Visibility and Participation resource document . Note: If you are an observer, you can copy the pairing code and link the student by entering the code in your User Settings.  Open User Settings In Global Navigation, click the Account link , then click the Settings link . Pair with Observer Click the Pair with Observer button. Note: If the Pair with Observer button doesn't display in your User Settings, please contact your institution for assistance with pairing with an observer. Copy Pairing Code Copy the six-digit alphanumeric pairing code . You will need to share the code with the observer who will link to your account. The pairing code will expire after seven days or its first use. To close the window, click the OK button . Note: Pairing codes are case sensitive.",
How can I view new Canvas announcements and identify unread ones?,,"1) Open Announcements: In your course, go to Course Navigation and click Announcements to open the Announcements Index Page.

2) Identify unread/new announcements: On the list, new or unread items have a blue dot next to the author’s image.

3) View newest first: Announcements are listed in reverse chronological order, with the newest first. Click an announcement title to open its details.

4) Read or manage: 
- To filter, use the toolbar drop-down to show All or Unread.
- To search, enter keywords in the Search field.
- To mark as read, click Mark All as Read.
- To subscribe, click External Feeds to get the RSS feed.

5) Quick interactions: If allowed, click Reply to respond to an announcement. Use the announcement toolbar to sort replies, view in split screen, or expand the thread.

6) Staying current: In addition to the index page, you can view new announcements via Canvas notifications, the Recent Activity Dashboard, or the To Do list. Some institutions also post Global Announcements.","Document Title: How do I view Announcements as a student

How do I view Announcements as a student? The Announcements Index Page allows you to view and filter announcements in your course. You can receive new announcements via Canvas notifications , view announcements on the Recent Activity Dashboard , or view announcements in the To Do list . Your institution may also post global announcements. Learn how to view Global Announcements .  Open Announcements In Course Navigation, click the Announcements link. View Announcements Index Page The Announcements Index page displays a toolbar with viewing options at the top of the page , followed by the individual announcements . Announcements are listed in reverse chronological order with the newest appearing first and the older announcements appearing towards the bottom. Note: When an announcement is new or unread, a blue dot will appear next to the author's image. View Announcement Details Each announcement displays the date on which the announcement was posted  and the number of unread/total replies (if any) to the announcement . To quickly reply to an announcement, click the Reply link . To open an individual announcement, click the announcement link . Note: If there is no Reply link, your instructor does not allow replies to announcements. Manage Announcements To manage announcements on the index page, use the Announcements Index page toolbar. To view all or only unread announcements, click the drop-down menu . To search for announcements by words or phrases in the announcement titles, enter terms in the Search field . To mark all announcements as having been read, click the Mark All as Read button . To subscribe to the Announcements RSS feed, click the External Feeds link . View Announcement An announcement includes three sections: the announcements toolbar , the announcement , and announcement replies . View Announcement Toolbar The announcement toolbar remains at the top of the screen when you are viewing announcement replies. To search for replies or specific authors, enter your terms in the search field . To filter replies, click the Filter drop-down menu . You can filter by all replies or unread replies. To sort replies by newest or oldest, click the Sort button . To view the thread in split screen, click the View Split Screen button . To view the entire thread, click the Expand Threads button . To access other features, click the Menu button . Translate Announcements To translate announcements, click on the Menu button  then select Translate Text . Under the Translate Discussion section, click the drop-down menu  and choose your preferred language . View Announcements The announcement includes important information about the announcement, including the announcement title  and description . You can also view the name of the author , the date and time the announcement was published  or edited , and number of replies . View Announcement Replies Announcement replies display below the announcement topic . To view threaded replies , click the # of read/ unread replies link . To reply to reply to an announcement reply, click the Reply link . To mark a message as unread, click the Mark as Unread link . Learn how to reply to an announcement .",
"In Canvas, can students post group announcements? How do they add a group announcement, and which instructor settings affect group announcements?",,"Yes. As a student, you can post announcements in a group you are a member of.

Step-by-step to add a group announcement:
1) Open the group and go to Group Navigation > Announcements.
2) Or from the Group Home Page, click Group Navigation Home and then Add Announcement.
3) Click Add Announcement.
4) Enter the Topic Title and use the Rich Content Editor to add content (note the word count).
5) If the instructor has enabled it, check the Allow liking option to let others like the announcement.
6) Click Publish to post the announcement.
7) To manage or view the announcement, click the Options icon and choose Mark read/unread, Edit, or Delete.
8) To view all group announcements, go to the group Announcements page.

Instructor settings that affect group announcements:
- Whether students can enable likes: The option ""Allow liking"" must be enabled by the instructor for others to like the announcement.","Document Title: How do I add an announcement in a group

How do I add an announcement in a group? As a student, you can make an announcement within a group .  Open Announcements Open a group in which you are a member. Then, in Group Navigation, click the Announcements link. Add Announcement in Group Home Page You can also add an announcement in a group by clicking the Group Navigation Home link  and then clicking the Add Announcement button . Add Announcement Click the Add Announcement button. Create Announcement Enter an announcement title in the Topic Title field . Add content using the Rich Content Editor . A word count displays . If enabled by your instructor, you can allow other users to like the announcement. To allow other users to like the announcement, click the Allow liking checkbox . Publish Announcement Click the Publish button. View Announcement View the announcement. To manage the announcement, click the Options icon , then select an option . You can mark the announcement as read, mark the announcement as unread, edit the announcement , or delete it . View Announcements Page View the announcement in the group Announcements page.",
How can a student edit a group announcement they created in Canvas LMS?,,"1) Open the group you are a member of in Canvas.  
2) In Group Navigation, click Announcements.  
3) Click the name of the announcement you created to open it. Note: You can only edit announcements you created.  
4) Click the Options icon, then select Edit.  
5) Edit the title and/or content as needed.  
6) Click Save to apply changes.  
Troubleshooting tip: If you don’t see an Edit option, you did not create that announcement.","Document Title: How do I edit an announcement in a group

How do I edit an announcement in a group? As a student, you can edit an announcement you created within a group .  Open Announcements Open a group in which you are a member. Then, in Group Navigation, click the Announcements link. Open Announcement Click the name of the announcement. Note: You can only edit announcements that you created. Learn how to create an announcement . Edit Announcement Click the Options icon , then click the Edit link . Edit Title or Content Edit the announcement title  or content . Save Announcement Click the Save button.",
"As a student, how do I delete a group announcement in Canvas LMS?",,"As a student, you can delete group announcements. Use one of these two methods:

1) Delete from the Announcements index page
- Step 1: Open the group you are a member of.
- Step 2: In Group Navigation, click Announcements.
- Step 3: Locate the announcement you want to delete.
- Step 4: Click the Options icon next to it, then click Delete.
- Optional for multiple deletions: Check the boxes next to multiple announcements, then click the Delete icon.

2) Delete from an open announcement
- Step 1: Open the group, then click Announcements in Group Navigation.
- Step 2: Click the name of the announcement to open it.
- Step 3: Click the Options icon, then click Delete.
- Step 4: Confirm Deletion by clicking OK.","Document Title: How do I delete an announcement in a group

How do I delete an announcement in a group? As a student, you can delete announcements only within a group . You can delete an announcement in the Announcements Index Page or within an open announcement.  Open Announcements Open a group in which you are a member. Then, in Group Navigation, click the Announcements link. Delete in Announcements Index Page To delete an announcement from the index page, locate the announcement. Click the Options icon  and click the Delete link . To delete multiple announcements at a time, click the checkboxes next to the announcements you want to delete  and click the Delete icon . Delete Open Announcement You can also delete an announcement by opening the individual announcement. Click the name of the announcement. Delete Announcement Click the Options icon  and click the Delete link . Confirm Deletion Click the OK button.",
"How do students add an RSS feed to a group Announcements (URL, view options)?",,"Step-by-step instructions to add an RSS feed to a group Announcements (URL and view options)

1) Open the group: In the group you’re a member of, go to Group Navigation and click Announcements.
2) Open External Feeds: Click the External Feeds link.
3) Add the feed: Click Add External Feed.
4) Enter the feed URL: In the Feed URL field, paste the RSS feed URL.
5) Choose how content is shown: Select Content to Post:
   - Full article to view the entire article
   - Truncated to view a shortened version
   - Link only to show just the article link
6) Optional filter: If desired, check “Only add posts with a specific phrase in the title” and enter keywords or phrases.
7) Save the feed: Click Add Feed.
8) Manage or verify: View the feed in the feed list (External Feeds). To remove later, click the Remove icon.
9) Important notes:
   - The feed displays the 15 most recent posts in Announcements.
   - You’ll only see content created after you added the feed.
   - Delayed announcements don’t display until posted.
   - Adding a feed creates an announcement for every new item from that feed; expect more notifications if your notifications are enabled.

Troubleshooting
- If no posts appear yet, ensure the feed has new posts after you added it and refresh if needed.
- Verify you pasted a valid RSS URL and that the feed isn’t behind a login or blocked.
- If you want to stop updates, remove the feed from External Feeds.","Document Title: How do I add an external RSS feed to a group announcement as a

How do I add an external RSS feed to a group announcement as a student? RSS, also known as Rich Site Summary or Really Simple Syndication, is a web feed format that publishes frequently updated information from external websites such as blogs, news headlines, audio, and video. RSS feeds benefit users who want to receive timely updates from favorite websites or to aggregate data from many sites. You can add an external RSS feed in a group announcement. The RSS feed will display the 15 most recent posts within Announcements. Please note that the feed will only display content created after you added the RSS feed. Moreover, the RSS feed only displays active announcements. Delayed announcements do not display until they are posted. Note : Adding an RSS feed creates an announcement for every new item added to that feed. Users who have chosen to be notified of new announcements in their Canvas notification settings may see a substantial increase in the amount of notifications they receive.  Open Announcements Open a group in which you are a member. Then, in Group Navigation, click the Announcements link. Open External Feeds Click the External Feeds link. Add External Feed Click the Add External Feed link. Enter Feed URL In the Feed URL field, paste the feed URL. All new entries from that RSS feed will be added to Announcements. Select Content to Post You can select the content that users can view in Announcements. To view the entire article, click the Full article option . To view a shortened version of the article, click the Truncated option . To view a link to the selected article, click the Link only option . You can also choose to add only posts with a specific phrase in the title. Click the Only add posts with a specific phrase in the title checkbox , and type key words or phrases in the text box. Add Feed Click the Add Feed button. View External Feeds View the external feed in the feed list. If you want to delete the external feed, click the Remove icon. Note : You will have to wait until a new post is published in the external RSS feed before you can see it in the Announcement feed.",
How to subscribe to Announcements RSS feed in a Canvas course as a student?,,"1) In the course, go to Course Navigation > Announcements.
2) Click External Feeds.
3) Click RSS Feed.
4) Copy the URL from your browser’s address bar.
5) Open your RSS reader and paste the URL to subscribe.
6) Browser notes:
   - Firefox: You can add a Live Bookmark from this screen.
   - Safari: Safari will automatically create an RSS feed from this screen.
Troubleshooting tips:
- If you don’t see the feed, make sure you’re in the correct course (or group) where announcements exist; steps are the same for groups.
- If the feed doesn’t update, refresh your reader or re-copy and re-paste the URL.
- If your reader can’t subscribe by URL, try adding the feed manually via the reader’s “Add by URL” option.","Document Title: How do I subscribe to the Announcements RSS feed as a student

How do I subscribe to the Announcements RSS feed as a student? You can subscribe to the Announcement RSS feed in your course or group and receive announcements via any RSS feed reader. This lesson shows how to subscribe in a course, but the steps are the same as in a group.  Open Announcements In Course Navigation, click the Announcements link. Open External Feeds Click the External Feeds link. Open RSS Feed Click the RSS Feed button. Notes: If you use a Firefox browser to access Canvas, you can add a Live Bookmark from this screen. If you use a Safari browser to access Canvas, Safari will automatically create a RSS feed for you from this screen. Copy URL Copy the URL in your browser's address bar. Then open your preferred RSS feed reader and paste the copied URL in the text box.",
